feature,gini_importance,permutation_importance_mean,permutation_importance_std
is_natura2000,0.35664539032746395,0.3632069970845481,0.004950777270467007
population_density,0.25033467928946834,0.18055393586005836,0.0037405372793603195
dist_to_nearest_turbine_m,0.22732457196249,0.23195335276967932,0.0035472795741702742
wind_speed,0.16569535842057775,0.19186588921282804,0.00787328566658492
