,precision,recall,f1-score,support
Excluded: Natura 2000,1.0,1.0,1.0,824.0
High ML suitability,0.987220447284345,1.0,0.9935691318327974,309.0
Low ML suitability,0.9916434540389972,0.9951083158630328,0.9933728636205092,1431.0
Medium ML suitability,0.9929988331388565,0.9826789838337182,0.987811955890888,866.0
accuracy,0.9935860058309038,0.9935860058309038,0.9935860058309038,0.9935860058309038
macro avg,0.9929656836155497,0.9944468249241878,0.9936884878360487,3430.0
weighted avg,0.9935947202445822,0.9935860058309038,0.9935785957372572,3430.0
