,precision,recall,f1-score,support
No Turbine,0.8736842105263158,0.8726999624483665,0.8731918091301898,2663.0
Has Turbine,0.5597402597402598,0.5619295958279009,0.560832791151594,767.0
accuracy,0.8032069970845481,0.8032069970845481,0.8032069970845481,0.8032069970845481
macro avg,0.7167122351332877,0.7173147791381337,0.7170123001408919,3430.0
weighted avg,0.8034815836304251,0.8032069970845481,0.803343597238183,3430.0
