country,cell_lon,cell_lat,annual_wind_speed
Denmark,11.429530201342281,54.5,6.159
Denmark,11.478523489932886,54.5,6.208
Denmark,11.527516778523491,54.5,6.266
Denmark,11.772483221476511,54.5,6.663
Denmark,11.821476510067114,54.5,6.752
Denmark,11.87046979865772,54.5,6.836
Denmark,11.919463087248323,54.5,6.915
Denmark,11.968456375838926,54.5,6.984
Denmark,12.017449664429531,54.5,7.042
Denmark,12.066442953020136,54.5,7.086
Denmark,12.11543624161074,54.5,7.117
Denmark,11.331543624161075,54.52281879194631,6.071
Denmark,11.380536912751678,54.52281879194631,6.096
Denmark,11.429530201342281,54.52281879194631,6.131
Denmark,11.478523489932886,54.52281879194631,6.176
Denmark,11.527516778523491,54.52281879194631,6.23
Denmark,11.576510067114095,54.52281879194631,6.293
Denmark,11.723489932885906,54.52281879194631,6.522
Denmark,11.772483221476511,54.52281879194631,6.607
Denmark,11.821476510067114,54.52281879194631,6.691
Denmark,11.87046979865772,54.52281879194631,6.774
Denmark,11.919463087248323,54.52281879194631,6.85
Denmark,11.968456375838926,54.52281879194631,6.919
Denmark,12.017449664429531,54.52281879194631,6.977
Denmark,12.066442953020136,54.52281879194631,7.024
Denmark,12.11543624161074,54.52281879194631,7.058
Denmark,12.164429530201343,54.52281879194631,7.08
Denmark,11.28255033557047,54.54563758389262,6.034
Denmark,11.331543624161075,54.54563758389262,6.046
Denmark,11.380536912751678,54.54563758389262,6.069
Denmark,11.429530201342281,54.54563758389262,6.1
Denmark,11.478523489932886,54.54563758389262,6.141
Denmark,11.527516778523491,54.54563758389262,6.191
Denmark,11.576510067114095,54.54563758389262,6.249
Denmark,11.625503355704698,54.54563758389262,6.315
Denmark,11.674496644295303,54.54563758389262,6.387
Denmark,11.723489932885906,54.54563758389262,6.464
Denmark,11.772483221476511,54.54563758389262,6.544
Denmark,11.821476510067114,54.54563758389262,6.625
Denmark,11.87046979865772,54.54563758389262,6.704
Denmark,11.919463087248323,54.54563758389262,6.778
