cell_lon,cell_lat,wind_speed,is_natura2000,population_density,dist_to_nearest_turbine_m,ml_suitability_score,kmeans_label,ml_suitable,rf_empirical_probability,rf_empirical_prediction,rf_empirical_label
5.717020080321285,50.75760240963855,4.004636586124583,0,0,6623,48.8,High ML suitability,True,0.0033333333333333335,0,Empirically Unsuitable
5.782176706827309,50.75760240963855,4.002884240269532,0,0,11059,47.91,High ML suitability,True,0.0033333333333333335,0,Empirically Unsuitable
5.803895582329318,50.75760240963855,3.991282357281616,0,0,11764,47.7,High ML suitability,True,0.0,0,Empirically Unsuitable
5.825614457831326,50.75760240963855,3.974402158896809,0,0,11828,47.54,High ML suitability,True,0.016666666666666666,0,Empirically Unsuitable
5.847333333333333,50.75760240963855,3.952529079304163,0,0,12088,47.31,High ML suitability,True,0.6433333333333333,1,Empirically Suitable
5.869052208835342,50.75760240963855,3.926031046730704,0,0,11935,47.1,High ML suitability,True,0.08666666666666667,0,Empirically Unsuitable
5.89077108433735,50.75760240963855,3.8953423099808178,1,192,10613,0.0,Excluded: Natura 2000,False,0.006666666666666667,0,Empirically Unsuitable
5.912489959839357,50.75760240963855,3.8609452193902416,0,192,9356,32.05,Low ML suitability,False,0.0,0,Empirically Unsuitable
5.934208835341366,50.75760240963855,3.823351420046237,1,192,8192,0.0,Excluded: Natura 2000,False,0.006666666666666667,0,Empirically Unsuitable
5.955927710843374,50.75760240963855,3.7830837785352807,0,0,7126,46.72,High ML suitability,True,0.22333333333333333,0,Empirically Unsuitable
5.977646586345382,50.75760240963855,3.740660100566048,1,424,6204,0.0,Excluded: Natura 2000,False,0.0,0,Empirically Unsuitable
5.695301204819277,50.7743453815261,4.0162898982288056,0,0,4716,49.49,High ML suitability,True,0.22666666666666666,0,Empirically Unsuitable
5.717020080321285,50.7743453815261,4.026685741386215,0,336,6244,32.63,Low ML suitability,False,0.0,0,Empirically Unsuitable
5.738738955823294,50.7743453815261,4.031540133665297,0,336,7774,32.3,Low ML suitability,False,0.0,0,Empirically Unsuitable
5.760457831325302,50.7743453815261,4.030726316505376,0,0,9305,48.45,High ML suitability,True,0.0,0,Empirically Unsuitable
5.782176706827309,50.7743453815261,4.024224959917026,0,0,10836,48.13,High ML suitability,True,0.04,0,Empirically Unsuitable
