cell_lon,cell_lat,wind_speed,is_natura2000,dist_to_nearest_turbine_m,population_density,wind_score,population_score,infrastructure_score,natura_score,ml_suitability_score,ml_suitable,kmeans_cluster,kmeans_label,kmeans_rank
5.717020080321285,50.75760240963855,4.004636586124583,0,6623,0,0.3425172656359802,1.0,0.21681391714950826,1,48.8,True,1,High ML suitability,3
5.782176706827309,50.75760240963855,4.002884240269532,0,11059,0,0.3422592528316786,1.0,0.15822414100120197,1,47.91,True,1,High ML suitability,3
5.803895582329318,50.75760240963855,3.991282357281616,0,11764,0,0.3405510087905477,1.0,0.15116162270581956,1,47.7,True,1,High ML suitability,3
5.825614457831326,50.75760240963855,3.974402158896809,0,11828,0,0.3380655934201302,1.0,0.15054157864236406,1,47.54,True,1,High ML suitability,3
5.847333333333333,50.75760240963855,3.952529079304163,0,12088,0,0.3348450336270144,1.0,0.14805667997355298,1,47.31,True,1,High ML suitability,3
5.869052208835342,50.75760240963855,3.926031046730704,0,11935,0,0.33094350261756983,1.0,0.14951239711292763,1,47.1,True,1,High ML suitability,3
5.89077108433735,50.75760240963855,3.8953423099808178,1,10613,192,0.3264249385415982,0.4043208915617089,0.16292849711416502,0,0.0,False,-1,Excluded: Natura 2000,0
5.912489959839357,50.75760240963855,3.8609452193902416,0,9356,192,0.32136036194702405,0.4043208915617089,0.1773348166515346,1,32.05,False,0,Low ML suitability,1
5.934208835341366,50.75760240963855,3.823351420046237,1,8192,192,0.31582510669753133,0.4043208915617089,0.19251779537968217,0,0.0,False,-1,Excluded: Natura 2000,0
5.955927710843374,50.75760240963855,3.7830837785352807,0,7126,0,0.30989615889370264,1.0,0.2084488273895876,1,46.72,True,1,High ML suitability,3
5.977646586345382,50.75760240963855,3.740660100566048,1,6204,424,0.30364975947998024,0.31496954011573286,0.22428216632531006,0,0.0,False,-1,Excluded: Natura 2000,0
5.695301204819277,50.7743453815261,4.0162898982288056,0,4716,0,0.3442330820239069,1.0,0.25561882522794377,1,49.49,True,1,High ML suitability,3
5.717020080321285,50.7743453815261,4.026685741386215,0,6244,336,0.3457637505494102,0.3412301149137872,0.22354776200355708,1,32.63,False,0,Low ML suitability,1
5.738738955823294,50.7743453815261,4.031540133665297,0,7774,336,0.34647850406767017,0.3412301149137872,0.19850284944118368,1,32.3,False,0,Low ML suitability,1
5.760457831325302,50.7743453815261,4.030726316505376,0,9305,0,0.3463586788362441,1.0,0.1779594611089389,1,48.45,True,1,High ML suitability,3
5.782176706827309,50.7743453815261,4.024224959917026,0,10836,0,0.3454014287361627,1.0,0.160552116200245,1,48.13,True,1,High ML suitability,3
5.803895582329318,50.7743453815261,4.01212743177459,0,12367,336,0.34362020663771087,0.3412301149137872,0.14544894801304875,1,31.33,False,0,Low ML suitability,1
5.825614457831326,50.7743453815261,3.9946330009283,0,13681,336,0.34104435259080523,0.3412301149137872,0.1339091165775006,1,31.0,False,0,Low ML suitability,1
5.847333333333333,50.7743453815261,3.9720402413088456,0,12618,192,0.3377178281781016,0.4043208915617089,0.1431527078823953,1,32.52,False,0,Low ML suitability,1
5.869052208835342,50.7743453815261,3.944733484711561,0,11168,192,0.33369722184303463,0.4043208915617089,0.15710327642851618,1,32.49,False,0,Low ML suitability,1
5.89077108433735,50.7743453815261,3.913165614153309,0,9743,192,0.32904921540920934,0.4043208915617089,0.172702935726333,1,32.44,False,0,Low ML suitability,1
5.912489959839357,50.7743453815261,3.877838737053754,0,8355,192,0.32384773842828063,0.4043208915617089,0.19026629003193252,1,32.39,False,0,Low ML suitability,1
5.934208835341366,50.7743453815261,3.839284310296805,1,7028,192,0.3181710418234821,0.4043208915617089,0.21003129762278105,0,0.0,False,-1,Excluded: Natura 2000,0
5.955927710843374,50.7743453815261,3.79804413129186,0,5802,424,0.3120988990416819,0.31496954011573286,0.23193744118161042,1,30.08,False,0,Low ML suitability,1
5.977646586345382,50.7743453815261,3.754653314279724,0,4718,424,0.305710099509918,0.31496954011573286,0.2555703761897804,1,30.05,False,0,Low ML suitability,1
5.717020080321285,50.791088353413656,4.045535163026444,0,6408,336,0.3485391114308482,0.3412301149137872,0.22058509100970503,1,32.75,False,0,Low ML suitability,1
5.738738955823294,50.791088353413656,4.050231816112941,1,7905,336,0.34923063966437917,0.3412301149137872,0.19659321282249353,0,0.0,False,-1,Excluded: Natura 2000,0
5.760457831325302,50.791088353413656,4.049148901124281,0,9414,336,0.3490711928678241,0.3412301149137872,0.17662856102674562,1,32.12,False,0,Low ML suitability,1
5.782176706827309,50.791088353413656,4.042267049652178,1,10929,336,0.3480579192654778,0.3412301149137872,0.1595754861039349,0,0.0,False,-1,Excluded: Natura 2000,0
5.803895582329318,50.791088353413656,4.029681889206144,0,12449,336,0.34620489890998857,0.3412301149137872,0.144693696259665,1,31.47,False,0,Low ML suitability,1
