cell_lon,cell_lat,wind_speed,is_natura2000,dist_to_nearest_turbine_m,population_density
5.717020080321285,50.75760240963855,4.004636586124583,0,6623,0
5.782176706827309,50.75760240963855,4.002884240269532,0,11059,0
5.803895582329318,50.75760240963855,3.9912823572816154,0,11764,0
5.825614457831326,50.75760240963855,3.974402158896809,0,11828,0
5.847333333333333,50.75760240963855,3.952529079304163,0,12088,0
5.869052208835342,50.75760240963855,3.926031046730704,0,11935,0
5.89077108433735,50.75760240963855,3.8953423099808178,1,10613,192
5.912489959839357,50.75760240963855,3.8609452193902416,0,9356,192
5.934208835341366,50.75760240963855,3.823351420046237,1,8192,192
5.955927710843374,50.75760240963855,3.7830837785352807,0,7126,0
5.977646586345382,50.75760240963855,3.740660100566048,1,6204,424
5.695301204819277,50.7743453815261,4.0162898982288056,0,4716,0
5.717020080321285,50.7743453815261,4.026685741386215,0,6244,336
5.738738955823294,50.7743453815261,4.031540133665297,0,7774,336
5.760457831325302,50.7743453815261,4.030726316505376,0,9305,0
5.782176706827309,50.7743453815261,4.024224959917026,0,10836,0
5.803895582329318,50.7743453815261,4.01212743177459,0,12367,336
5.825614457831326,50.7743453815261,3.9946330009283,0,13681,336
5.847333333333333,50.7743453815261,3.9720402413088456,0,12618,192
5.869052208835342,50.7743453815261,3.944733484711561,0,11168,192
5.89077108433735,50.7743453815261,3.913165614153309,0,9743,192
5.912489959839357,50.7743453815261,3.877838737053754,0,8355,192
5.934208835341366,50.7743453815261,3.839284310296805,1,7028,192
5.955927710843374,50.7743453815261,3.79804413129186,0,5802,424
5.977646586345382,50.7743453815261,3.754653314279724,0,4718,424
5.717020080321285,50.791088353413656,4.045535163026444,0,6408,336
5.738738955823294,50.791088353413656,4.050231816112941,1,7905,336
5.760457831325302,50.791088353413656,4.049148901124281,0,9414,336
5.782176706827309,50.791088353413656,4.042267049652178,1,10929,336
5.803895582329318,50.791088353413656,4.029681889206144,0,12449,336
5.825614457831326,50.791088353413656,4.01160108656575,0,13619,336
